iterations,latitude,longitude,scores,road_damage,status,fps
45,-6.896699,107.61076,23,D40,undetected,3.690262162069424
46,-6.896699,107.61076,9,D40,undetected,4.073417197820287
47,-6.896699,107.61076,20,D40,undetected,4.17193408941257
48,-6.896699,107.61076,14,D40,undetected,4.067574644379706
49,-6.896699,107.61076,49,D40,detected,3.925321354203224
50,-6.896699,107.61076,27,D40,undetected,3.6940192754997883
51,-6.896699,107.61076,33,D40,undetected,3.7048391726988865
52,-6.8966994,107.61076,22,D40,undetected,3.552285273397734
53,-6.8966994,107.61076,11,D20,undetected,3.6061143022708966
54,-6.8966994,107.61076,10,D40,undetected,3.8944399153944578
55,-6.8966994,107.61076,2,D20,undetected,3.9891993171107507
56,-6.8966994,107.61076,5,D40,undetected,4.160797100946081
57,-6.8966994,107.61076,17,D40,undetected,4.048915540762307
58,-6.8966994,107.61076,8,D40,undetected,4.09504422307684
59,-6.8966994,107.61076,5,D40,undetected,4.022595488958325
60,-6.8966994,107.61076,9,D40,undetected,4.0711872270662885
61,-6.8966994,107.61076,28,D40,undetected,3.7747380869026803
62,-6.8967004,107.61077,27,D20,undetected,3.7351561901674732
63,-6.8967004,107.61077,36,D20,undetected,3.686123900680486
64,-6.8967004,107.61077,20,D20,undetected,3.804909556035343
65,-6.8967004,107.61077,0,nolabel,undetected,3.939593520524039
66,-6.8967004,107.61077,0,nolabel,undetected,3.7400188681600692
67,-6.8967004,107.61077,14,D40,undetected,3.803384531122198
68,-6.8967004,107.61077,6,D20,undetected,3.747008595875909
69,-6.8967004,107.61077,23,D40,undetected,3.6586645359441663
70,-6.8967004,107.61077,7,D20,undetected,3.993772679966216
71,-6.8967028,107.61077,3,D20,undetected,4.285048471480543
72,-6.8967028,107.61077,0,nolabel,undetected,4.23932135345231
73,-6.8967028,107.61077,0,nolabel,undetected,3.9087830344645056
74,-6.8967028,107.61077,2,D20,undetected,3.8057346831188794
75,-6.8967028,107.61077,2,D40,undetected,3.9865073066413212
76,-6.8967028,107.61077,8,D20,undetected,3.9860602541428167
77,-6.8967028,107.61077,13,D20,undetected,4.108667052622196
78,-6.8967028,107.61077,6,D00,undetected,4.153787952313138
79,-6.8967028,107.61077,4,D00,undetected,4.052416732929925
80,-6.8967028,107.61077,2,D00,undetected,3.941626061337932
81,-6.8967047,107.61077,4,D40,undetected,4.119396887006671
82,-6.8967047,107.61077,8,D00,undetected,3.9657836488049143
83,-6.8967047,107.61077,4,D40,undetected,3.573796444696654
84,-6.8967047,107.61077,5,D40,undetected,3.74485744412808
85,-6.8967047,107.61077,27,D40,undetected,3.605435440391704
86,-6.8967047,107.61077,35,D20,undetected,3.6892981166064436
87,-6.8967047,107.61077,43,D20,detected,3.704547943656797
88,-6.8967047,107.61077,2,D40,undetected,3.940492911102948
89,-6.8967047,107.61077,24,D20,undetected,3.8843485250917764
90,-6.8967047,107.61077,9,D20,undetected,3.9952144724108236
91,-6.8967075,107.61077,58,D40,detected,3.817720256207442
92,-6.8967075,107.61077,38,D40,undetected,3.7911767975826445
93,-6.8967075,107.61077,15,D40,undetected,4.123487230306712
94,-6.8967075,107.61077,9,D40,undetected,4.171975586660195
95,-6.8967075,107.61077,27,D40,undetected,3.7155613510410612
96,-6.8967075,107.61077,4,D40,undetected,3.8451808084928882
97,-6.8967075,107.61077,15,D20,undetected,3.93441983239123
98,-6.8967075,107.61077,14,D40,undetected,3.8501364523848647
99,-6.8967075,107.61077,10,D40,undetected,4.165007338381822
100,-6.8967071,107.61076,21,D40,undetected,3.616836299573755
101,-6.8967071,107.61076,2,D40,undetected,3.37196312172596
102,-6.8967071,107.61076,14,D20,undetected,3.9888578751408694
103,-6.8967071,107.61076,3,D40,undetected,3.8390709279645154
104,-6.8967071,107.61076,8,D20,undetected,4.116421308836808
105,-6.8967071,107.61076,20,D20,undetected,4.1505694497084225
106,-6.8967071,107.61076,7,D40,undetected,4.143324534922316
107,-6.8967071,107.61076,30,D40,undetected,3.850387397642566
108,-6.8967071,107.61076,34,D40,undetected,3.784400449692055
109,-6.8967071,107.61076,21,D00,undetected,3.794857318639958
110,-6.8967066,107.61076,2,D40,undetected,3.888933291176915
111,-6.8967066,107.61076,2,D40,undetected,3.979842241151091
112,-6.8967066,107.61076,0,nolabel,undetected,4.027234189642674
113,-6.8967066,107.61076,10,D20,undetected,4.042780583722096
114,-6.8967066,107.61076,25,D20,undetected,3.753053720971643
115,-6.8967066,107.61076,38,D20,undetected,3.7154428621541276
116,-6.8967066,107.61076,17,D20,undetected,4.027160721418257
117,-6.8967066,107.61076,11,D20,undetected,4.008448286737146
118,-6.8967066,107.61076,33,D20,undetected,3.99240033048663
119,-6.8967066,107.61076,25,D20,undetected,3.764935675790184
120,-6.8967085,107.61077,13,D40,undetected,3.930530058316442
121,-6.8967085,107.61077,37,D40,undetected,3.7927674977777657
122,-6.8967085,107.61077,41,D40,detected,3.6378100132266527
123,-6.8967085,107.61077,11,D40,undetected,4.018040595171037
124,-6.8967085,107.61077,6,D40,undetected,4.163824802446094
125,-6.8967085,107.61077,5,D20,undetected,4.0711556138370435
126,-6.8967085,107.61077,2,D40,undetected,3.7219544790218198
127,-6.8967085,107.61077,0,nolabel,undetected,3.744345947490113
128,-6.8967085,107.61077,0,nolabel,undetected,3.7822743762720514
129,-6.8967075,107.61077,3,D20,undetected,4.000343352224064
130,-6.8967075,107.61077,0,nolabel,undetected,4.098369369791911
131,-6.8967075,107.61077,6,D20,undetected,4.001087484295868
132,-6.8967075,107.61077,0,nolabel,undetected,3.992100136010911
133,-6.8967075,107.61077,4,D00,undetected,3.902988817640156
134,-6.8967075,107.61077,22,D20,undetected,3.796853203509798
135,-6.8967075,107.61077,7,D20,undetected,3.962273276904474
136,-6.8967075,107.61077,42,D20,detected,3.499312535874948
137,-6.8967075,107.61077,36,D20,undetected,3.4533896176928516
138,-6.8967075,107.61077,41,D20,detected,3.5173510915660975
139,-6.8967071,107.61077,0,nolabel,undetected,3.7191327263505487
140,-6.8967071,107.61077,27,D20,undetected,3.7223541606761876
141,-6.8967071,107.61077,0,nolabel,undetected,3.8397808718801754
142,-6.8967071,107.61077,21,D20,undetected,3.535248781211439
143,-6.8967071,107.61077,64,D20,detected,3.661628582029289
